model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.9424035904255319, 0.943481546612941, 0.9457486651852924, 0.9446137456025819, 0.09832961638804842, 0.986502659574468, 0.9866871240530015, 0.9866778178695553, 0.9866824709393349, 0.0645538501590094
5_128, 0.9503823138297872, 0.9507124529339759, 0.9527390791599516, 0.9517246871611106, 0.1022289628415626, 0.9921542553191489, 0.9920928399038211, 0.9922734043785942, 0.9921831139261089, 0.06240367173474837
5_256, 0.8527759308510638, 0.8729982968172703, 0.85969533754044, 0.8662957496612017, 0.15249707622037448, 0.9861512158054712, 0.986011032306772, 0.9864028326869303, 0.9862068935832283, 0.09527478986122506
6_64, 0.963501715785224, 0.9630037560759637, 0.9656664721457134, 0.96433327604211, 0.0869355498740527, 0.9903729838709677, 0.9903029495317835, 0.9905067133868958, 0.9904048209788504, 0.053190562943176874
6_128, 0.9539135042389988, 0.9540292863422295, 0.9559551340212862, 0.9549912392604133, 0.10587535413086631, 0.9839717741935484, 0.984355148669073, 0.983990724916037, 0.9841729030574596, 0.07582388762760187
6_256, 0.873380096891401, 0.8848893832096615, 0.8793939084859569, 0.8821330870628961, 0.15585389017771523, 0.9890120967741935, 0.9889398540035348, 0.9891472999797883, 0.9890435661140232, 0.08492132382347219
7_64, 0.9409734947977114, 0.9421098426333447, 0.9445063295989407, 0.9433065640392463, 0.10224302179141724, 0.9862551867219918, 0.9867940560919455, 0.9859473722108777, 0.9863705324566431, 0.06722114980220795
7_128, 0.9636227933541017, 0.9630972804798686, 0.9660540523950727, 0.9645734005446893, 0.08740505423169878, 0.9891943291839558, 0.9896140034263251, 0.9889335101861227, 0.9892736397832443, 0.06039357550550422
7_256, 0.8826850833791461, 0.8937110027327732, 0.8883806646212651, 0.8910378620039274, 0.13969084572765234, 0.9881137621023514, 0.9883671328769955, 0.9878514161405861, 0.9881092072177131, 0.0804653094867618
8_64, 0.9688242721330956, 0.9681327150272343, 0.9707506578649711, 0.969439919030693, 0.08164473848978519, 0.9922060570071259, 0.9924188387620033, 0.9921046153893465, 0.9922617021990912, 0.04444750507014877
8_128, 0.956866458704694, 0.9569739160278927, 0.9593008230642612, 0.9581359567798787, 0.08889250344503007, 0.9889771377672208, 0.9893669820624251, 0.9887939757082048, 0.9890803958950304, 0.05931331719008591
8_256, 0.8603219696969697, 0.8794773795835017, 0.866455035910128, 0.8729176430276876, 0.14548660271877972, 0.9849688242280285, 0.9852526348571446, 0.9847478743604325, 0.985000189943029, 0.07506301029056593
9_64, 0.9274273054255504, 0.9316727318174889, 0.9307974164971646, 0.9312348684689535, 0.08987633082146348, 0.989637474012474, 0.9897757940469326, 0.9897262990938569, 0.9897510459516154, 0.05429799054781258
9_128, 0.96723327266424, 0.9667034889487014, 0.9689229573830995, 0.9678119506992682, 0.08206182121102094, 0.9894100831600832, 0.9895737129662845, 0.9894390301117253, 0.9895063669560452, 0.05385929590145323
9_256, 0.9471962211821807, 0.9474656505419465, 0.9501210553736432, 0.9487914950256123, 0.10058188204277255, 0.9855444386694386, 0.9858356092022299, 0.9857450959373195, 0.9857903504920889, 0.06949912479366108
10_64, 0.9420313954305183, 0.9443579642029086, 0.9448357266518713, 0.9445967850161789, 0.0839818118468206, 0.9933945497630332, 0.9934930507965188, 0.9934072800060103, 0.9934501635499818, 0.04322009463353144
10_128, 0.9713639077674167, 0.9709069464368753, 0.9728672211711653, 0.9718860953463336, 0.07454740203543438, 0.9899585308056872, 0.9900579176403027, 0.9900785804003238, 0.9900682489125051, 0.04689484046004112
10_256, 0.9525666016894088, 0.9526740488331799, 0.9551441390932964, 0.9539074949256747, 0.09999082055324383, 0.9921504739336493, 0.992205610150686, 0.9922486132337537, 0.9922271112262818, 0.061119475054126494
